source,variable,table,description,data_type,logic
survey,telework_days_5,person,Days teleworked in the past week: Friday,integer/categorical,"Daily 1: If commute_freq is not ""6-7 days a week"", or job_type is ""Work only from home"" , or telework_freq is not ""Never"""
survey,telework_days_6,person,Days teleworked in the past week: Saturday,integer/categorical,"Daily 1: If commute_freq is not ""6-7 days a week"", or job_type is ""Work only from home"" , or telework_freq is not ""Never"""
survey,telework_days_7,person,Days teleworked in the past week: Sunday,integer/categorical,"Daily 1: If commute_freq is not ""6-7 days a week"", or job_type is ""Work only from home"" , or telework_freq is not ""Never"""
survey,telework_days_8,person,Days teleworked in the past week: I did not telework last week,integer/categorical,"Daily 1: If commute_freq is not ""6-7 days a week"", or job_type is ""Work only from home"" , or telework_freq is not ""Never"""
survey,telework_change,person,How person's telework frequency compares to one year ago,integer/categorical,Daily 1: If employed full/part/self/volunteer
survey,telework_offered,person,Employer allows this person to work remotely,integer/categorical,"Daily 1: If telework_freq is ""Never"" or commute_freq is ""6-7 days a week"""
survey,telework_freq_pre_covid,person,How often person typically worked remotely before March 2020,integer/categorical,Daily 1
survey,work_home_decision,person,Person wants to live closer to where they work,integer/categorical,"Daily 1: If employed full/part/self/volunteer and job_type is not ""Only work remotely"" or ""Drive/bike/travel for work"""
survey,work_home_decision_factor_1,person,Factors preventing this person from living closer to where they work: Cost of housing,integer/categorical,Daily 1: If wants to live closer to work
survey,work_home_decision_factor_2,person,Factors preventing this person from living closer to where they work: Availability of housing,integer/categorical,Daily 1: If wants to live closer to work
survey,work_home_decision_factor_3,person,Factors preventing this person from living closer to where they work: Types of housing,integer/categorical,Daily 1: If wants to live closer to work
survey,work_home_decision_factor_4,person,Factors preventing this person from living closer to where they work: Discrimination,integer/categorical,Daily 1: If wants to live closer to work
survey,work_home_decision_factor_5,person,Factors preventing this person from living closer to where they work: Life circumstances,integer/categorical,Daily 1: If wants to live closer to work
survey,work_home_decision_factor_997,person,Factors preventing this person from living closer to where they work: Other,integer/categorical,Daily 1: If wants to live closer to work
survey,volunteer_freq,person,How often person typically volunteers,integer/categorical,Daily 1: If employment is not volunteer or intern
survey,work_mode,person,Typical mode of transportation to work,integer/categorical,"Daily 1: If commute_freq is not ""Never"" and job_type is not ""Work only from home"" or ""Drive/bike/travel for work"""
survey,work_mode_access,person,Typical mode used to access the train or bus on work commute,integer/categorical,Daily 1: If work_mode is train or bus
survey,commute_subsidy_1,person,Commute benefits provided by employer: Free or discounted parking at work,integer/categorical,"Daily 1: If commute_freq is not ""Never"" and job_type is not ""Work only from home"" or ""Drive/bike/travel for work"""
survey,commute_subsidy_2,person,Commute benefits provided by employer: Free or discounted transit passes or fares,integer/categorical,"Daily 1: If commute_freq is not ""Never"" and job_type is not ""Work only from home"" or ""Drive/bike/travel for work"""
survey,commute_subsidy_996,person,Commute benefits provided by employer: None of the above,integer/categorical,"Daily 1: If commute_freq is not ""Never"" and job_type is not ""Work only from home"" or ""Drive/bike/travel for work"""
survey,commute_subsidy_997,person,Commute benefits provided by employer: Other,integer/categorical,"Daily 1: If commute_freq is not ""Never"" and job_type is not ""Work only from home"" or ""Drive/bike/travel for work"""
survey,parking_subsidy,person,How person's employer subsidizes their parking,integer/categorical,Daily 1: If commute_subsidy = Free or discounted parking at work
survey,transit_subsidy,person,How person's employer subsidizes their transit commute,integer/categorical,Daily 1: If commute_subsidy = Free or discounted transit passes
survey,commute_subsidy_other,person,How person's employer subsidizes their transit commute-- Other specified,character,"Daily 1: If responded ""Other"" to commute_subsidy, parking_subsidy or transit_subsidy"
survey,benefit_use_1,person,Commute benefits person currently uses: Free (fully subsidized) parking at work,integer/categorical,Daily 1: If person's employer offers any commute benefits
survey,benefit_use_2,person,Commute benefits person currently uses: Discounted (partially or pre-tax subsidized) parking at work,integer/categorical,Daily 1: If person's employer offers any commute benefits
survey,benefit_use_3,person,Commute benefits person currently uses: Free (fully subsidized) transit passes or fares,integer/categorical,Daily 1: If person's employer offers any commute benefits
survey,benefit_use_4,person,Commute benefits person currently uses: Discounted (partially or pre-tax subsidized) transit passes or fares,integer/categorical,Daily 1: If person's employer offers any commute benefits
survey,benefit_use_996,person,Commute benefits person currently uses: None of the above,integer/categorical,Daily 1: If person's employer offers any commute benefits
survey,work_walk_freq,person,How often person walked to work in the past week,integer/categorical,"Daily 1: If employed full/part/self/volunteer and job_type is not ""Work only from home"" or ""Drive/bike/travel for work"""
